,feature
0,Sex_female
1,Sex_male
2,Title_Mr
3,Survival_Rate_1.0
4,Pclass_3
5,Survival_Rate_0.0
6,Deck_M
7,Title_Mrs
8,Title_Miss
9,Age_group_adult
10,Age_group_middle
11,Pclass_1
12,Embarked_S
13,Deck_DE
14,Ticket_Frequency_1
15,Embarked_C
16,Pclass_2
17,Age_group_old
18,"Fare_Category_(25.258, 27.721]"
19,"Fare_Category_(27.721, 36.3]"
20,"Fare_Category_(7.88, 8.05]"
21,Age_group_child
22,"Fare_Category_(8.712, 10.5]"
23,Survival_Rate_0.6919191919191919
24,Deck_ABC
25,Ticket_Frequency_7
26,FamilySize_6
27,FamilySize_7
28,SibSp_3
29,Title_Master
30,Ticket_Frequency_6
31,Survival_Rate_0.25
33,SibSp_1
36,"Fare_Category_(-0.001, 5.464]"
37,Ticket_Frequency_4
39,Parch_0
40,Parch_5
41,FamilySize_2
43,Ticket_Frequency_2
44,Parch_2
45,Title_Officer
47,FamilySize_4
48,Deck_FG
49,Survival_Rate_NA_1.0
63,FamilySizeCategory_small
68,Survival_Rate_0.1919191919191919
