,Pclass,Sex,SibSp,Parch,Embarked,Title,Fare_Category,FamilySize,FamilySizeCategory,Age_group,Deck,Ticket_Frequency,Survival_Rate,Survival_Rate_NA,Pclass_1,Pclass_2,Pclass_3,SibSp_0,SibSp_1,SibSp_2,SibSp_3,SibSp_4,SibSp_5,SibSp_8,Parch_0,Parch_1,Parch_2,Parch_3,Parch_4,Parch_5,Parch_6,Parch_9,FamilySize_1,FamilySize_2,FamilySize_3,FamilySize_4,FamilySize_5,FamilySize_6,FamilySize_7,FamilySize_8,FamilySize_11,Ticket_Frequency_1,Ticket_Frequency_2,Ticket_Frequency_3,Ticket_Frequency_4,Ticket_Frequency_5,Ticket_Frequency_6,Ticket_Frequency_7,Ticket_Frequency_8,Ticket_Frequency_11,Survival_Rate_0.0,Survival_Rate_0.1919191919191919,Survival_Rate_0.25,Survival_Rate_0.3838383838383838,Survival_Rate_0.4419191919191919,Survival_Rate_0.5,Survival_Rate_0.6919191919191919,Survival_Rate_0.75,Survival_Rate_1.0,Survival_Rate_NA_0.0,Survival_Rate_NA_0.5,Survival_Rate_NA_1.0
0,3,male,1,0,S,Mr,"(7.056, 7.25]",2,small,adult,M,1,0.3838383838383838,0.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,female,1,0,C,Mrs,"(27.721, 36.3]",2,small,middle,ABC,2,1.0,1.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,female,0,0,S,Miss,"(7.88, 8.05]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3,1,female,1,0,S,Mrs,"(25.258, 27.721]",2,small,middle,ABC,2,0.3838383838383838,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4,3,male,0,0,S,Mr,"(7.88, 8.05]",1,Single,middle,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5,3,male,0,0,Q,Mr,"(8.05, 8.712]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
6,1,male,0,0,S,Mr,"(25.258, 27.721]",1,Single,old,DE,2,0.1919191919191919,0.5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7,3,male,3,1,S,Master,"(-0.001, 5.464]",5,middle,child,M,5,0.0,1.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8,3,female,0,2,S,Mrs,"(-0.001, 5.464]",3,small,adult,M,3,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
9,2,female,1,0,C,Mrs,"(13.0, 25.258]",2,small,youth,M,2,0.3838383838383838,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10,3,female,1,1,S,Miss,"(5.464, 7.056]",3,small,child,FG,3,1.0,1.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
11,1,female,0,0,S,Miss,"(25.258, 27.721]",1,Single,old,ABC,1,0.3838383838383838,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12,3,male,0,0,S,Mr,"(7.88, 8.05]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
13,3,male,1,5,S,Mr,"(-0.001, 5.464]",7,middle,middle,M,7,0.1919191919191919,0.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
14,3,female,0,0,S,Miss,"(7.75, 7.88]",1,Single,youth,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
15,2,female,0,0,S,Mrs,"(13.0, 25.258]",1,Single,old,M,1,0.3838383838383838,0.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
16,3,male,4,1,Q,Master,"(-0.001, 5.464]",6,middle,child,M,6,0.0,1.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
17,2,male,0,0,S,Mr,"(10.5, 13.0]",1,Single,adult,M,1,0.3838383838383838,0.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
18,3,female,1,0,S,Mrs,"(8.712, 10.5]",2,small,middle,M,2,0.0,1.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
19,3,female,0,0,C,Mrs,"(7.056, 7.25]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20,2,male,0,0,S,Mr,"(10.5, 13.0]",1,Single,middle,M,2,0.3838383838383838,0.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
21,2,male,0,0,S,Mr,"(10.5, 13.0]",1,Single,middle,DE,1,0.3838383838383838,0.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
22,3,female,0,0,Q,Miss,"(7.88, 8.05]",1,Single,youth,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
23,1,male,0,0,S,Mr,"(27.721, 36.3]",1,Single,adult,ABC,1,0.3838383838383838,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
